t,x_x(t) [cube 2],x_y(t) [cube 2],x_z(t) [cube 2],F(t) [cube 2]
3.119998,10.41029,-9.96846,-2.141172E-06,14.37051
3.139998,10.45278,-10.25664,-2.170647E-06,14.56458
3.159998,10.49527,-10.54874,-2.200122E-06,14.75871
3.179998,10.53776,-10.84476,-2.229598E-06,14.9529
3.199998,10.58024,-11.14471,-2.259073E-06,15.14713
3.219998,10.62273,-11.44858,-2.288549E-06,15.34142
3.239998,10.66522,-11.75638,-2.318024E-06,15.53575
3.259998,10.70771,-12.0681,-2.347499E-06,15.73013
3.279998,10.7502,-12.38374,-2.376975E-06,15.92456
3.299998,10.79268,-12.70331,-2.40645E-06,16.11903
3.319998,10.83517,-13.0268,-2.435925E-06,16.31354
3.339998,10.87766,-13.35422,-2.465401E-06,16.50808
3.359998,10.92015,-13.68556,-2.494876E-06,16.70267
3.379997,10.96264,-14.02082,-2.524351E-06,16.89729
3.399997,11.00513,-14.36001,-2.553827E-06,17.09196
3.419997,11.04761,-14.70313,-2.583302E-06,17.28665
3.439997,11.0901,-15.05016,-2.612778E-06,17.48138
3.459997,11.13259,-15.40112,-2.642253E-06,17.67614
3.479997,11.17508,-15.75601,-2.671728E-06,17.87093
3.499997,11.21757,-16.11481,-2.701204E-06,18.06576
3.519997,11.26005,-16.47755,-2.730679E-06,18.26061
3.539997,11.30254,-16.8442,-2.760154E-06,18.45549
3.559997,11.34503,-17.21478,-2.78963E-06,18.6504
3.579997,11.38752,-17.58929,-2.819105E-06,18.84534
3.599997,11.43001,-17.96771,-2.84858E-06,19.0403
3.619997,11.47249,-18.35007,-2.878056E-06,19.23528
3.639997,11.51498,-18.73634,-2.907531E-06,19.4303
3.659997,11.55747,-19.12654,-2.937006E-06,19.62533
3.679997,11.59996,-19.52067,-2.966482E-06,19.82039
3.699997,11.64245,-19.91872,-2.995957E-06,20.01547
3.719997,11.68493,-20.32069,-3.025433E-06,20.21057
3.739997,11.72742,-20.72658,-3.054908E-06,20.40569
3.759997,11.76991,-21.1364,-3.084383E-06,20.60084
3.779997,11.8124,-21.55015,-3.113859E-06,20.796
3.799997,11.85489,-21.96782,-3.143334E-06,20.99118
3.819997,11.89738,-22.38941,-3.172809E-06,21.18638
3.839997,11.93986,-22.81492,-3.202285E-06,21.3816
3.859997,11.98235,-23.24436,-3.23176E-06,21.57684
