t,F(t) [cube 1],x(t) [cube 1]
5.479996,0.6093352,-5.626577
5.499996,0.6083649,-5.634932
5.519996,0.6073945,-5.643252
5.539996,0.606424,-5.651537
5.559996,0.6054536,-5.659787
5.579996,0.6044832,-5.668003
5.599996,0.6035128,-5.676183
5.619996,0.6025423,-5.68433
5.639996,0.6015719,-5.692441
5.659996,0.6006014,-5.700518
5.679996,0.5996309,-5.708561
5.699996,0.5986604,-5.716569
5.719995,0.5976899,-5.724544
5.739995,0.5967194,-5.732483
5.759995,0.5957489,-5.740389
5.779995,0.5947784,-5.74826
5.799995,0.5938079,-5.756098
5.819995,0.5928373,-5.763901
5.839995,0.5918668,-5.771671
5.859995,0.5908962,-5.779406
5.879995,0.5899257,-5.787107
5.899995,0.5889551,-5.794775
5.919995,0.5879846,-5.80241
5.939995,0.587014,-5.81001
5.959995,0.5860434,-5.817577
5.979995,0.5850728,-5.82511
5.999995,0.5841022,-5.83261
6.019995,0.5831316,-5.840076
6.039995,0.5821609,-5.847509
6.059995,0.5811903,-5.854909
6.079995,0.5802197,-5.862276
6.099995,0.579249,-5.869609
6.119995,0.5782784,-5.87691
6.139995,0.5773077,-5.884177
6.159995,0.576337,-5.891412
6.179995,0.5753664,-5.898613
6.199995,0.5743957,-5.905782
6.219995,0.573425,-5.912918
6.239995,0.5724543,-5.920022
6.259995,0.5714836,-5.927092
6.279995,0.5705129,-5.93413
6.299995,0.5695422,-5.941136
6.319995,0.5685714,-5.948109
6.339995,0.5676007,-5.95505
6.359995,0.5666299,-5.961958
6.379995,0.5656592,-5.968835
6.399995,0.5646884,-5.975679
6.419995,0.5637177,-5.982491
6.439995,0.5627469,-5.989271
6.459995,0.5617761,-5.996019
6.479995,0.5608053,-6.002736
6.499995,0.5598345,-6.00942
6.519995,0.5588638,-6.016073
6.539995,0.5578929,-6.022694
6.559995,0.5569221,-6.029283
6.579995,0.5559513,-6.035841
6.599995,0.5549805,-6.042367
6.619995,0.5540096,-6.048862
6.639995,0.5530388,-6.055326
6.659995,0.5520679,-6.061759
6.679995,0.551097,-6.068161
6.699995,0.5501261,-6.074531
6.719995,0.5491552,-6.080871
6.739995,0.5481844,-6.087179
6.759995,0.5472135,-6.093457
6.779994,0.5462426,-6.099704
6.799994,0.5452717,-6.10592
6.819994,0.5443008,-6.112105
6.839994,0.5433298,-6.11826
6.859994,0.5423589,-6.124385
6.879994,0.541388,-6.130479
6.899994,0.5404171,-6.136543
6.919994,0.5394461,-6.142576
6.939994,0.5384752,-6.14858
6.959994,0.5375042,-6.154553
6.979994,0.5365332,-6.160496
6.999994,0.5355622,-6.166409
7.019994,0.5345913,-6.172293
7.039994,0.5336203,-6.178147
7.059994,0.5326493,-6.183971
7.079994,0.5316783,-6.189765
7.099994,0.5307072,-6.19553
7.119994,0.5297362,-6.201266
7.139994,0.5287652,-6.206972
7.159994,0.5277942,-6.212648
7.179994,0.5268232,-6.218296
7.199994,0.5258521,-6.223914
7.219994,0.5248811,-6.229503
7.239994,0.52391,-6.235063
7.259994,0.522939,-6.240594
7.279994,0.5219679,-6.246096
7.299994,0.5209968,-6.25157
7.319994,0.5200257,-6.257015
7.339994,0.5190547,-6.262431
7.359994,0.5180836,-6.267819
7.379994,0.5171124,-6.273178
7.399994,0.5161414,-6.278509
7.419994,0.5151703,-6.283812
7.439994,0.5141991,-6.289086
7.459994,0.513228,-6.294332
7.479994,0.5122569,-6.29955
7.499994,0.5112858,-6.30474
7.519994,0.5103146,-6.309903
7.539994,0.5093435,-6.315037
7.559994,0.5083723,-6.320144
7.579994,0.5074012,-6.325223
7.599994,0.50643,-6.330275
7.619994,0.5054588,-6.335299
7.639994,0.5044876,-6.340296
7.659994,0.5035164,-6.345265
7.679994,0.5025452,-6.350207
7.699994,0.5015741,-6.355122
7.719994,0.5006029,-6.36001
7.739994,0.4996317,-6.364871
7.759994,0.4986605,-6.369705
7.779994,0.4976892,-6.374512
7.799994,0.496718,-6.379292
7.819993,0.4957468,-6.384046
7.839993,0.4947756,-6.388773
7.859993,0.4938043,-6.393474
7.879993,0.4928331,-6.398149
7.899993,0.4918619,-6.402797
7.919993,0.4908906,-6.407419
7.939993,0.4899193,-6.412014
7.959993,0.488948,-6.416584
7.979993,0.4879768,-6.421127
7.999993,0.4870055,-6.425645
8.019994,0.4860342,-6.430137
8.039994,0.4850629,-6.434603
8.059995,0.4840916,-6.439043
8.079995,0.4831204,-6.443458
8.099996,0.482149,-6.447847
8.119996,0.4811777,-6.452211
8.139997,0.4802064,-6.45655
8.159997,0.4792351,-6.460863
8.179997,0.4782638,-6.465151
8.199998,0.4772924,-6.469414
8.219998,0.4763211,-6.473652
8.239999,0.4753498,-6.477866
8.259999,0.4743784,-6.482054
8.28,0.4734071,-6.486218
8.3,0.4724357,-6.490357
8.320001,0.4714643,-6.494472
8.340001,0.470493,-6.498561
8.360002,0.4695216,-6.502627
8.380002,0.4685502,-6.506668
8.400002,0.4675788,-6.510685
8.420003,0.4666074,-6.514678
8.440003,0.465636,-6.518647
8.460004,0.4646646,-6.522592
8.480004,0.4636932,-6.526513
8.500005,0.4627218,-6.53041
8.520005,0.4617504,-6.534283
8.540006,0.460779,-6.538133
8.560006,0.4598076,-6.541959
8.580007,0.4588361,-6.545762
8.600007,0.4578647,-6.549541
8.620008,0.4568932,-6.553297
8.640008,0.4559218,-6.55703
8.660008,0.4549504,-6.56074
8.680009,0.4539789,-6.564426
8.700009,0.4530074,-6.568089
8.72001,0.452036,-6.57173
8.74001,0.4510645,-6.575348
8.760011,0.450093,-6.578943
8.780011,0.4491215,-6.582516
8.800012,0.44815,-6.586066
8.820012,0.4471786,-6.589593
8.840013,0.446207,-6.593099
8.860013,0.4452356,-6.596581
8.880013,0.4442641,-6.600042
8.900014,0.4432925,-6.603481
8.920014,0.442321,-6.606897
8.940015,0.4413495,-6.610292
8.960015,0.440378,-6.613665
8.980016,0.4394065,-6.617016
9.000016,0.4384349,-6.620345
9.020017,0.4374634,-6.623653
9.040017,0.4364918,-6.626939
9.060018,0.4355203,-6.630204
9.080018,0.4345488,-6.633448
9.100019,0.4335772,-6.63667
9.120019,0.4326056,-6.639871
9.140019,0.4316341,-6.643051
9.16002,0.4306625,-6.64621
9.18002,0.429691,-6.649348
9.200021,0.4287194,-6.652465
9.220021,0.4277478,-6.655561
9.240022,0.4267762,-6.658637
9.260022,0.4258046,-6.661692
9.280023,0.424833,-6.664726
9.300023,0.4238614,-6.66774
9.320024,0.4228898,-6.670734
9.340024,0.4219182,-6.673707
9.360024,0.4209466,-6.676661
9.380025,0.419975,-6.679594
9.400025,0.4190034,-6.682507
9.420026,0.4180318,-6.6854
9.440026,0.4170601,-6.688274
9.460027,0.4160885,-6.691128
9.480027,0.4151169,-6.693962
9.500028,0.4141452,-6.696776
9.520028,0.4131736,-6.699571
9.540029,0.4122019,-6.702346
9.560029,0.4112303,-6.705102
9.580029,0.4102587,-6.707839
9.60003,0.409287,-6.710557
9.62003,0.4083153,-6.713255
9.640031,0.4073437,-6.715935
9.660031,0.406372,-6.718596
9.680032,0.4054003,-6.721237
9.700032,0.4044286,-6.72386
9.720033,0.403457,-6.726465
9.740033,0.4024853,-6.729051
9.760034,0.4015136,-6.731618
9.780034,0.4005419,-6.734167
9.800035,0.3995702,-6.736697
9.820035,0.3985985,-6.739209
9.840035,0.3976268,-6.741703
9.860036,0.3966551,-6.744179
9.880036,0.3956834,-6.746636
9.900037,0.3947117,-6.749076
9.920037,0.39374,-6.751498
9.940038,0.3927682,-6.753902
9.960038,0.3917965,-6.756289
9.980039,0.3908248,-6.758658
10.00004,0.3898531,-6.761009
10.02004,0.3888814,-6.763343
10.04004,0.3879096,-6.76566
10.06004,0.3869379,-6.767959
10.08004,0.3859661,-6.770241
10.10004,0.3849944,-6.772506
10.12004,0.3840226,-6.774754
10.14004,0.3830509,-6.776985
10.16004,0.3820791,-6.779199
10.18004,0.3811073,-6.781396
10.20004,0.3801355,-6.783576
10.22004,0.3791638,-6.78574
10.24004,0.378192,-6.787888
10.26005,0.3772202,-6.790018
10.28005,0.3762484,-6.792132
10.30005,0.3752767,-6.79423
10.32005,0.3743049,-6.796312
10.34005,0.3733331,-6.798378
10.36005,0.3723613,-6.800427
10.38005,0.3713895,-6.802461
10.40005,0.3704177,-6.804478
10.42005,0.3694459,-6.80648
10.44005,0.3684741,-6.808466
10.46005,0.3675023,-6.810436
10.48005,0.3665304,-6.812391
10.50005,0.3655587,-6.81433
10.52005,0.3645868,-6.816253
10.54005,0.363615,-6.818161
10.56005,0.3626432,-6.820055
10.58005,0.3616714,-6.821932
10.60005,0.3606995,-6.823795
10.62005,0.3597277,-6.825642
10.64005,0.3587559,-6.827475
10.66005,0.357784,-6.829292
10.68005,0.3568122,-6.831094
10.70006,0.3558403,-6.832882
10.72006,0.3548685,-6.834655
10.74006,0.3538966,-6.836414
10.76006,0.3529248,-6.838158
10.78006,0.3519529,-6.839887
10.80006,0.350981,-6.841602
10.82006,0.3500092,-6.843303
10.84006,0.3490373,-6.84499
10.86006,0.3480654,-6.846662
10.88006,0.3470936,-6.84832
10.90006,0.3461217,-6.849965
10.92006,0.3451498,-6.851595
10.94006,0.3441779,-6.853212
10.96006,0.343206,-6.854815
10.98006,0.3422342,-6.856404
11.00006,0.3412623,-6.857979
11.02006,0.3402904,-6.859541
11.04006,0.3393185,-6.86109
11.06006,0.3383466,-6.862625
11.08006,0.3373747,-6.864146
11.10006,0.3364028,-6.865655
11.12006,0.3354309,-6.86715
11.14007,0.334459,-6.868632
11.16007,0.3334871,-6.870101
11.18007,0.3325152,-6.871558
11.20007,0.3315432,-6.873001
11.22007,0.3305713,-6.874432
11.24007,0.3295994,-6.875849
11.26007,0.3286275,-6.877254
11.28007,0.3276555,-6.878647
11.30007,0.3266836,-6.880027
11.32007,0.3257117,-6.881394
11.34007,0.3247397,-6.88275
11.36007,0.3237678,-6.884092
11.38007,0.3227959,-6.885423
11.40007,0.3218239,-6.886741
11.42007,0.320852,-6.888048
11.44007,0.31988,-6.889342
11.46007,0.3189081,-6.890624
11.48007,0.3179362,-6.891894
11.50007,0.3169642,-6.893153
11.52007,0.3159922,-6.8944
11.54007,0.3150203,-6.895636
11.56007,0.3140483,-6.896859
11.58008,0.3130763,-6.898071
11.60008,0.3121044,-6.899272
11.62008,0.3111324,-6.900461
11.64008,0.3101605,-6.901639
11.66008,0.3091885,-6.902806
11.68008,0.3082165,-6.903961
11.70008,0.3072445,-6.905106
11.72008,0.3062725,-6.906239
11.74008,0.3053006,-6.907362
11.76008,0.3043286,-6.908473
11.78008,0.3033566,-6.909574
11.80008,0.3023846,-6.910664
11.82008,0.3014126,-6.911743
11.84008,0.3004407,-6.912811
11.86008,0.2994686,-6.913869
11.88008,0.2984966,-6.914917
11.90008,0.2975246,-6.915954
11.92008,0.2965526,-6.916981
11.94008,0.2955806,-6.917997
11.96008,0.2946086,-6.919003
11.98008,0.2936366,-6.92
12.00008,0.2926646,-6.920986
12.02009,0.2916926,-6.921962
12.04009,0.2907206,-6.922928
12.06009,0.2897486,-6.923884
12.08009,0.2887766,-6.92483
12.10009,0.2878046,-6.925766
12.12009,0.2868325,-6.926693
12.14009,0.2858605,-6.92761
12.16009,0.2848885,-6.928518
12.18009,0.2839165,-6.929416
12.20009,0.2829445,-6.930305
12.22009,0.2819724,-6.931184
12.24009,0.2810004,-6.932054
12.26009,0.2800284,-6.932914
12.28009,0.2790564,-6.933766
12.30009,0.2780843,-6.934608
12.32009,0.2771123,-6.935442
12.34009,0.2761402,-6.936266
12.36009,0.2751682,-6.937082
12.38009,0.2741961,-6.937888
12.40009,0.2732241,-6.938686
12.42009,0.2722521,-6.939475
