t,v(t) [cube 1],x(t) [cube 1],F(t) [cube 1],v(t) [cube 2],x(t) [cube 2],F(t) [cube 2],distance
2.539998,1.120539,-2.091107,1.120539,1.120539,0.1414623,1.120539,1.232569
2.559998,1.120539,-2.068696,1.120539,1.120539,0.1638731,1.120539,1.232569
2.579998,1.120539,-2.046285,1.120539,1.120539,0.1862839,1.120539,1.232569
2.599998,1.120539,-2.023874,1.120539,1.120539,0.2086947,1.120539,1.232569
2.619998,1.120539,-2.001463,1.120539,1.120539,0.2311055,1.120539,1.232569
2.639998,1.120539,-1.979053,1.120539,1.120539,0.2535162,1.120539,1.232569
2.659998,1.120539,-1.956642,1.120539,1.120539,0.275927,1.120539,1.232569
2.679998,1.120539,-1.934231,1.120539,1.120539,0.2983378,1.120539,1.232569
2.699998,1.120539,-1.91182,1.120539,1.120539,0.3207486,1.120539,1.232569
2.719998,1.120539,-1.88941,1.120539,1.120539,0.3431593,1.120539,1.232569
2.739998,1.120539,-1.866999,1.120539,1.120539,0.3655701,1.120539,1.232569
2.759998,1.120539,-1.844588,1.120539,1.120539,0.3879809,1.120539,1.232569
2.779998,1.120539,-1.822177,1.120539,1.120539,0.4103917,1.120539,1.232569
2.799998,1.120539,-1.799767,1.120539,1.120539,0.4328025,1.120539,1.232569
2.819998,1.120539,-1.777356,1.120539,1.120539,0.4552132,1.120539,1.232569
2.839998,1.120539,-1.754945,1.120539,1.120539,0.477624,1.120539,1.232569
2.859998,1.120539,-1.732534,1.120539,1.120539,0.5000348,1.120539,1.232569
2.879998,1.120539,-1.710124,1.120539,1.120539,0.5224456,1.120539,1.232569
2.899998,1.120539,-1.687713,1.120539,1.120539,0.5448563,1.120539,1.232569
2.919998,1.120539,-1.665302,1.120539,1.120539,0.5672671,1.120539,1.232569
2.939998,1.120539,-1.642891,1.120539,1.120539,0.5896778,1.120539,1.232569
2.959998,1.120539,-1.620481,1.120539,1.120539,0.6120886,1.120539,1.232569
2.979998,1.120539,-1.59807,1.120539,1.120539,0.6344993,1.120539,1.232569
